firstname;derived_gender
rupi;undetermined
vian;undetermined
crucean;undetermined
salomon;undetermined
laios;male
rupunda;undetermined
beniamin;undetermined
etves;undetermined
lolea;undetermined
juja;female
denes;undetermined
pepi;female
teia;undetermined
micolos;undetermined
eleonore;undetermined
ilona;female
vianu;undetermined
somodin;undetermined
foicean;undetermined
veturia;undetermined
volma;undetermined
riti;undetermined
ciucur;undetermined
catelina;undetermined
rojica;undetermined
sabia;undetermined
zanza;undetermined
matica;undetermined
steluca;female
danciu;male
tolan;undetermined
ctna;female
stanciu;female
dusean;male
iosca;male
bancuta;female
mandita;female
abdula;male
baluta;male
cadina;female
almaze;female
emine;female
adele;female
grapina;female
precup;male
dinonisie;male
groncea;male
oltina;female
molihova;female
sinefta;female
iozefa;female
pipilica;female
militaru;male
ibrim;female
boloboc;undetermined
lupu;male
mata;undetermined
nedelica;female
asan;male
suliman;undetermined
regep;undetermined
chiliu;female
aristia;female
palaghia;undetermined
cumta;female
duna;female
visca;male
brazaia;female
augrezia;female
caroli;undetermined
berta;female
eroftei;undetermined
rambi;undetermined
filipescu;undetermined
papura;undetermined
sanyi;undetermined
josif;undetermined
baica;undetermined
gyula;undetermined
petru;male
gyorfi;undetermined
juliana;female
francise;male
nani;female
cheja;female
sandor;undetermined
voina;undetermined
abaria;female
neliu;male
scumpa;female
lakatos;male
ilana;female
piciu;male
isa;undetermined
peertul;undetermined
sabrina;female
sofronie;undetermined
gheja;female
rozalina;undetermined
ortenzia;undetermined
romu;male
nicol;male
hoza;male
potica;male
silvestru;male
puia;female
treja;female
cristodor;undetermined
napolion;undetermined
ovidiu;male
robinson;undetermined
ioanna;undetermined
fag;undetermined
condel;undetermined
graneta;undetermined
sabian;undetermined
pitesteanu;undetermined
parizianu;undetermined
garlesteanu;undetermined
tiberica;undetermined
gilort;undetermined
vidu;undetermined
logedin;undetermined
sabin;male
fana;female
finel;undetermined
oscian;undetermined
augustin;male
tajian;undetermined
verdesanu;undetermined
mutulet;undetermined
meltiade;undetermined
libian;undetermined
tudosie;undetermined
ilioara;female
salondra;female
lipoveanca;female
romana;female
despina;female
iglita;female
lazarina;female
salonta;female
pauleta;female
armonica;female
milania;female
sata;female
ucraina;female
liluda;female
sevastiana;female
elefteria;female
mureseanca;female
anghelita;female
ecat;female
alexa;undetermined
lementa;female
studina;female
budrinca;undetermined
chirita;undetermined
moldoveanca;female
ebraim;male
ofiteru;male
anicut;undetermined
fola;male
bursuiuc;male
tilica;male
partenie;male
argir;male
bobica;male
parolea;male
avramita;male
zobita;female
varica;female
molerca;female
bobalina;female
eftinea;female
ilinaca;female
bobolina;female
elen;female
ilarie;male
pirca;female
mathilda;female
lincan;undetermined
leaundra;undetermined
cecela;undetermined
cuisoara;undetermined
grofian;undetermined
nusoreanu;undetermined
anisia;female
racolita;undetermined
gheorghit;female
gradioara;undetermined
nuti;undetermined
sulina;undetermined
oradia;undetermined
ticu;undetermined
ristica;undetermined
gogina;undetermined
fanita;female
oncica;female
sanaida;undetermined
arpadian;undetermined
gripina;female
puiuta;undetermined
gatra;female
argela;undetermined
firica;female
buzduca;undetermined
mindilica;undetermined
leonova;undetermined
igadi;undetermined
urmuza;undetermined
rausan;undetermined
ghiocica;undetermined
uita;female
verdisan;undetermined
ogalina;female
bubi;undetermined
belu;undetermined
totar;undetermined
armitrea;undetermined
culon;undetermined
colita;undetermined
salina;female
valerina;female
tochina;undetermined
lupsanu;undetermined
lotica;undetermined
salcioara;undetermined
iures;undetermined
opinca;undetermined
mures;undetermined
gherghinita;undetermined
cazelita;undetermined
lenova;female
caina;female
niculita;female
trana;female
floea;female
nila;female
busoia;female
chirita;undetermined
eurilia;female
regunta;female
anclata;female
costina;female
verica;female
rafina;female
olanda;female
cheta;female
radina;female
sntonica;female
floricuta;female
vergil;undetermined
corvna;female
stelianca;female
uonliuc;undetermined
ninisor;undetermined
sardan;undetermined
joca;undetermined
sorean;undetermined
burel;undetermined
solomon;undetermined
bebe;undetermined
pelican;undetermined
gheorghje;male
aonton;undetermined
lian;undetermined
lincinta;undetermined
popolian;undetermined
ochin;undetermined
zoneta;undetermined
gigoiu;undetermined
mireca;undetermined
pianu;undetermined
dinel;undetermined
cutuli;undetermined
otolin;undetermined
bradu;undetermined
gurin;undetermined
lisarata;undetermined
ritina;undetermined
dumitri;undetermined
fane;male
corneliu;undetermined
lamuia;female
elisabetha;female
prolina;female
rubita;male
rezbel;male
matache;male
diamand;male
pocaila;male
chiton;male
ruset;male
sabdin;male
franci;male
augistina;female
duduran;male
duduian;male
cosoveanu;male
turcitu;male
linca;female
frantuz;male
parulea;male
buzdugan;male
calopar;male
ristotel;male
giurca;undetermined
zaman;male
romca;male
jan;male
strain;male
ciulica;male
chirca;male
ninica;undetermined
zoiu;undetermined
maruntelu;undetermined
zanfir;female
manoela;undetermined
lucan;male
nitra;undetermined
vlad;undetermined
lucanu;undetermined
bolinit;undetermined
marfeta;female
gasca;female
bazinica;female
didona;female
luxita;female
rubla;female
floriana;female
mitrana;female
ecaterin;female
cotorbita;female
refta;female
refita;female
traianca;female
martilada;female
volga;female
ostroveanca;female
orinda;female
fursina;female
fluturica;female
didula;female
zamilita;female
vistor;undetermined
lixandru;female
trufomita;female
ioania;female
rizica;female
trica;male
constanhu;undetermined
biu;male
serban;male
mariai;female
ianca;female
aranca;female
dolfi;male
iota;male
crasiun;male
loisi;male
teresia;female
molda;female
tonci;male
cucu;male
pimpi;undetermined
zorica;female
pali;male
voac;male
guran;male
strut;female
zaga;female
marghiala;female
eugenia;female
rafaela;undetermined
carola;undetermined
velisar;undetermined
radian;undetermined
uca;undetermined
drabi;undetermined
radita;undetermined
bucur;male
benone;male
constanta;female
gina;female
andrei;male
ioana;female
ristea;male
preda;male
dida;undetermined
didi;undetermined
burcea;undetermined
stam;undetermined
rachiu;undetermined
tudosica;undetermined
piroi;undetermined
lia;female
lita;female
badea;male
linta;female
eremia;female
murica;undetermined
liexandru;undetermined
jiota;female
jan;male
marinica;undetermined
versilia;undetermined
angelina;female
tanta;female
marioara;female
hristache;undetermined
elizabeta;female
gentuta;female
aristina;female
fotimia;female
aritia;female
steliana;female
jaita;female
sofita;female
gheorgjita;female
mihalcea;female
sitica;female
ionela;undetermined
florica;female
tudorita;female
miala;undetermined
tudorel;undetermined
arsineta;undetermined
tudor;male
matia;undetermined
veta;female
floarea;female
marica;female
andica;undetermined
mihaie;male
olinca;undetermined
dumitra;female
micara;undetermined
titel;undetermined
asana;undetermined
ciuciu;undetermined
kurla;undetermined
anopl;undetermined
alx;undetermined
lamaia;female
vela;undetermined
melul;undetermined
savu;male
leanca;female
lacrima;undetermined
geana;female
telina;undetermined
larama;undetermined
modora;undetermined
balaci;undetermined
malura;undetermined
margean;male
argintaru;undetermined
grovidel;undetermined
mosu;male
salfida;undetermined
fulger;undetermined
polifache;undetermined
efrusina;undetermined
fulgeran;undetermined
lucian;male
codoaca;undetermined
ferma;undetermined
verdesan;undetermined
craulina;undetermined
bucovina;undetermined
chiodorean;female
misu;male
calina;female
masilica;undetermined
chilian;undetermined
cadelina;undetermined
craiu;undetermined
manevra;undetermined
rapita;undetermined
pascale;undetermined
viorica;female
miu;male
stama;undetermined
ilinca;female
nodica;undetermined
alexander;undetermined
vlada;undetermined
sambure;undetermined
lixandru;female
gheorgeta;female
dafina;female
toporan;undetermined
potcoava;undetermined
duduianu;undetermined
calofir;undetermined
martazin;undetermined
rizea;undetermined
filian;undetermined
alex;male
biru;undetermined
ungureanu;undetermined
geambasu;undetermined
polea;female
molidrea;female
ludranca;female
rurita;female
patuta;female
banuta;female
polea;female
c-tine;female
filma;female
mizica;female
mira;female
severina;female
melusi;undetermined
miahai;male
bration;undetermined
iamandi;undetermined
licsandru;male
lixandrina;female
median;male
abain;male
caldararu;male
lulea;male
londioliu;male
chemce;undetermined
ioaana;undetermined
angehlina;female
tuica;female
abania;female
octavian;male
linca;female
negoi;undetermined
victoria;female
florea;female
oane;undetermined
cleopatra;undetermined
zambilica;undetermined
sadin;undetermined
mantiliza;undetermined
vangheluta;undetermined
donim;undetermined
stanaca;male
panna;undetermined
constanto;male
arisitita;undetermined
marinel;undetermined
anatole;undetermined
fancica;undetermined
auriea;female
calotescu;undetermined
maior;undetermined
basarabescu;undetermined
iozefina;undetermined
ioardana;female
tudonito;female
niculae1933;male
mata;undetermined
german;undetermined
nico;undetermined
stance;male
coruau;male
rigan;undetermined
ifta;undetermined
stelea;female
curt;undetermined
niculina;female
susan;female
smaantana;undetermined
suciu;undetermined
margarit;female
marchizel;undetermined
baias;undetermined
cornea;male
glevricate;undetermined
anghelina;female
pelia;undetermined
pandele;female
stan;male
boteasiu;female
matei;male
zamfir;male
firica;female
vasilica1884;female
margarita;female
volca;female
zolta;female
zaharina;female
macarus;female
mitana;female
profna;female
oprina;undetermined
maria1936;undetermined
dolnta;female
costache;male
ferocica;female
suta;female
tefa;female
gheorghe1865;male
ionescu;male
anabet;undetermined
golcea;undetermined
suzanica;undetermined
luitana;undetermined
niculae1932;male
costache1830;undetermined
mauda;undetermined
bita;undetermined
coltotu;undetermined
polina;female
geluta;undetermined
dica;undetermined
latzu;undetermined
ior;undetermined
hinca;undetermined
vorilica;undetermined
mihaui;undetermined
ecaterina;female
tucha;undetermined
abram;male
sinia;undetermined
anica;female
zoe;female
pastore;undetermined
caterina;female
duganici;undetermined
duca;undetermined
franzola;undetermined
calita;female
gdoruba;undetermined
bruma;undetermined
vilvica;undetermined
murgica;undetermined
sotir;undetermined
ropunca;undetermined
brateanu;undetermined
buci;undetermined
nictor;undetermined
dusan;male
raduta;undetermined
lupascu;undetermined
mandolina;female
rata;undetermined
sivirica;undetermined
volochi;undetermined
branduli;undetermined
liza;female
ileana;female
esma;female
sali;undetermined
bahari;undetermined
achif;undetermined
manri;undetermined
hagi;undetermined
hasan;undetermined
vesele;female
ruxande;undetermined
rosie;undetermined
dumitraru;undetermined
tarziu;undetermined
granoea;undetermined
caldare;undetermined
dragut;undetermined
iftime;male
pitigoiu;male
valselele;female
lascan;female
constantinescu;male
iftinca;female
caliopia;female
trasnica;undetermined
mariae;undetermined
chitu;undetermined
titus;undetermined
madela;female
calia;female
ghica;female
cranina;female
ortansa;female
silica;undetermined
tofana;female
gita;female
ruha;male
enachi;male
fiser;male
gheorghea;male
ninu;male
tana;female
teuca;female
hamau;undetermined
luca;male
salnica;female
vilian;undetermined
stefna;male
lupan;male
rosca;undetermined
judele;male
zornia;female
rocovina;undetermined
calin;male
marchidan;undetermined
turturean;undetermined
genovica;female
marandita;undetermined
marfa;female
c-tica;female
olguta;undetermined
petrut;male
aspazia;female
sidor;undetermined
florescu;female
soripoaru;undetermined
pricop;undetermined
aristitia;female
petres;undetermined
alexa;undetermined
virona;undetermined
reana;female
antal;undetermined
paduret;undetermined
furnica;undetermined
mancas;undetermined
cudarnau;undetermined
c-tiu;male
bejan;male
zecu;male
milia;female
eustache;male
ciuraru;male
pandel;male
liubiana;female
sevastitia;female
naica;female
rixanda;female
eufrosia;female
ileanca;female
popist;undetermined
mirona;undetermined
eleana;female
nelulae;undetermined
savel;undetermined
maslina;female
viana;female
porcan;female
general;female
alalmaia;female
fenoiu;female
macu;female
botelina;female
mirca;female
agalaia;female
mircaea;male
grina;female
gruca;female
leontine;undetermined
caliu;male
rarita;female
haralamb;male
clementa;undetermined
cobzaru;male
conoaghe;male
cazimir;undetermined
chibara;undetermined
dodocea;undetermined
augurita;female
casia;female
misunel;undetermined
efteria;undetermined
ilieana;female
valucia;undetermined
aglai;female
leocardia;female
gorga;undetermined
stavarat;undetermined
paraschiva;female
dumirtu;undetermined
saveta;female
sinescu;undetermined
bombonel;undetermined
iluta;undetermined
tohe;undetermined
dumitrie;male
lida;undetermined
ghiula;female
versavia;female
ghiolbana;undetermined
donusea;undetermined
zinovia;undetermined
ptru;undetermined
cozma;undetermined
verinica;female
theodora;female
efim;undetermined
lidia;female
iarisa;undetermined
volor;undetermined
ghe;male
edochia;undetermined
evlompia;undetermined
tiutiana;undetermined
afabaste;undetermined
rumin;undetermined
averchi;undetermined
afanasa;undetermined
varara;female
arenia;female
erghenia;female
rausa;female
evedechia;female
marusia;female
nelia;female
waluta;female
naghia;female
tesla;female
frosea;female
axema;female
tihon;undetermined
vartolomeu;undetermined
cozanaiu;undetermined
ifrun;undetermined
joachim;undetermined
pufan;undetermined
chirilo;undetermined
isai;male
agalia;undetermined
petep;undetermined
efimie;undetermined
agofia;female
dunea;female
olea;female
culnia;female
lota;female
tafmia;female
sinciov;undetermined
nadia;female
galuba;female
arhip;male
aculina;female
haretina;female
pasa;undetermined
koloman;undetermined
gligor;undetermined
erjy;female
ambrozia;female
marja;female
ilea;female
solvina;female
sigism;undetermined
braia;undetermined
hoca;female
hariton;undetermined
timotei;male
lascut;undetermined
feci;undetermined
spicu;undetermined
poldi;undetermined
buia;female
dorica;female
serafina;female
nelica;female
trina;female
zorita;female
licita;undetermined
galeni;undetermined
iozeia;undetermined
victori;undetermined
iofiv;undetermined
fani;female
gulea;undetermined
patrut;male
borita;undetermined
crucita;female
sarlota;female
martina;female
tecla;female
buca;female
ruselina;female
martica;female
achila;undetermined
dafta;undetermined
ani;undetermined
bele;undetermined
patita;undetermined
kotol;undetermined
aurelis;undetermined
salin;undetermined
pangarti;undetermined
sandru;undetermined
albinuti;undetermined
pompeiu;undetermined
danuti;undetermined
galciu;undetermined
snada;undetermined
ruzalia;undetermined
istin;undetermined
barcea;undetermined
ironim;undetermined
romi;undetermined
lucrectia;female
savina;undetermined
melinte;undetermined
savin;undetermined
nauc;undetermined
difta;undetermined
zahnfirita;female
tincuta;female
duta;undetermined
dragostina;female
alecsandrina;female
spaer;male
cavrila;male
cracea;male
zivideanca;female
n-le;male
bitulice;male
tismanaru;male
budica;male
gheroghita;female
panica;female
rudina;female
mecic;male
lapadatu;undetermined
anastasie;female
arinda;undetermined
aurida;undetermined
statie;male
smochin;male
izvoranca;female
draghici;undetermined
naom;male
ionescu;male
grigorea;male
mutata;undetermined
zamfira;female
dita;female
dumitru;male
chiriaca;female
maira;female
calomia;female
cnstica;female
bocalin;male
duduca;male
szlate;male
?ica;female
frisca;female
lacuta;female
gheorgina;female
alina;female
bidia;female
stoichnita;female
boboaca;female
aucica;female
zulpina;female
dambita;female
saida;female
verdala;female
lazanchika;female
marica;female
duica;male
tanja;male
zenca;female
anghina;female
aftenia;female
augentina;female
niculica;female
zica;female
znica;female
haise;undetermined
vasiliu;male
iordachi;male
nan;female
pand;female
h-bie;male
alexa;undetermined
margaret;female
silivia;female
ianna;female
papurica;undetermined
mitre;undetermined
georgel;female
vintilia;undetermined
milu;undetermined
nacolaru;undetermined
pitisteanu;undetermined
gradina;undetermined
trinica;undetermined
modianca;undetermined
toanca;undetermined
baldusca;undetermined
duta;undetermined
grumpava;undetermined
zagadita;undetermined
nedianca;undetermined
corabia;undetermined
julughia;undetermined
unonel;undetermined
aristide;female
marsanu;undetermined
gheorgeanca;female
medica;undetermined
maliu;undetermined
eliasb;female
tanos;male
migusiu;male
gasofie;female
frasina;female
rustica;female
marka;female
vena;female
cartoveanca;female
filfteia;female
leaga;female
decina;female
eleftera;female
manie;female
mata;undetermined
margariet;male
cfenda;male
terusca;female
zarinca;female
costan;male
martian;male
dinutu;undetermined
haleria;female
peter;undetermined
frederic;undetermined
lizi;undetermined
fransisc;male
iulia;female
stena;undetermined
martini;undetermined
genia;undetermined
faneta;undetermined
anic;undetermined
lote;undetermined
risca;undetermined
paraschica;female
nasia;female
purtulu;undetermined
nastasie;undetermined
berja;undetermined
sas;female
riszu;undetermined
banescu;undetermined
aer;undetermined
nichifor;male
vicu;undetermined
aristetel;undetermined
tepes;undetermined
tanasa;male
statian;undetermined
tanasie;undetermined
varianta;undetermined
covrigean;undetermined
stelnuta;female
snobia;female
saninada;female
timisoara;female
virginica;female
simplon;female
licara;female
mela;female
carsmarita;female
florarea;female
mona;female
elida;female
teaca;female
baleanu;female
raulian;female
saichi;female
ladeanca;female
braghie;undetermined
iroplanca;undetermined
livina;female
ristidia;undetermined
berdia;undetermined
grausor;undetermined
p??anu;undetermined
campean;undetermined
rapta;female
jantica;female
goregeta;female
constantinta;female
panina;female
sucarina;female
zavoianca;female
fane;male
marinochi;male
artepan;male
virdonica;female
dionisca;female
lisandru;female
vitu;undetermined
danef;undetermined
melu;male
priboiu;undetermined
fulmena;undetermined
arvinta;undetermined
cazandra;female
tufan;undetermined
dabia;undetermined
georgescu;undetermined
ispadian;undetermined
pantazescu;undetermined
simzianca;undetermined
brisindica;undetermined
secata;undetermined
banateanca;undetermined
gisa;undetermined
sardaru;undetermined
dude;undetermined
molearca;undetermined
pina;undetermined
tache;male
iorgu;male
nicolae-netinov;undetermined
maximilian;undetermined
potolomita;undetermined
oaie;undetermined
burdulea;undetermined
tatu;undetermined
bogdan;undetermined
patra;undetermined
cristina;female
prusianca;female
armenus;undetermined
pavelona;female
salomeea;female
baculescu;undetermined
izvoranu;undetermined
cozia;undetermined
ionel;male
luludia;undetermined
radianca;undetermined
aritel;undetermined
aritica;undetermined
zanobia;undetermined
marmazela;undetermined
loventina;undetermined
tiparu;undetermined
sabareanu;undetermined
ciobanica;undetermined
usia;undetermined
riuleana;undetermined
paulina;female
mina;female
turtoc;undetermined
militina;undetermined
elefterie;undetermined
varsovia;undetermined
mariatat;female
nela;female
marau;male
arvinte;undetermined
cynie;undetermined
marbu;undetermined
alexandru;male
petria;female
tuderica;undetermined
maricel;male
cartia;female
veichila;undetermined
oancea;male
cioaba;female
melu;male
tita;female
serghi;male
dancila;undetermined
mustata;undetermined
filisan;male
mindila;male
farcea;male
rascau;male
poleria;female
vasile;male
nicola;male
rica;female
tarsita;undetermined
aritina;female
dondu;undetermined
domca;undetermined
doma;undetermined
elorica;undetermined
florea;female
mariu;undetermined
tatan;undetermined
mogoci;undetermined
nasturel;undetermined
jovica;undetermined
darna;undetermined
gutuia;undetermined
narmacica;undetermined
chirtop;undetermined
elifordia;undetermined
ciricila;undetermined
daica;undetermined
camelia;undetermined
olgan;undetermined
caria;undetermined
nora;undetermined
olumca;undetermined
genova;undetermined
cornita;undetermined
lila;undetermined
proumbita;undetermined
coca;undetermined
putinica;undetermined
boiana;undetermined
mutu;undetermined
ulicioara;undetermined
mocea;undetermined
masa;undetermined
bulgaroaica;undetermined
lachita;undetermined
flanca;undetermined
ionas;undetermined
terian;undetermined
?atineanu;undetermined
celereanu;undetermined
marar;undetermined
simplan;undetermined
br?zea;undetermined
gheorghin;undetermined
calaras;undetermined
barciu;undetermined
calan;undetermined
veaicu;undetermined
georgica;undetermined
averscu;undetermined
carcia;undetermined
balan;undetermined
susica;undetermined
felinar;undetermined
dragnea;undetermined
bragadin;undetermined
ardeleanu;undetermined
ledia;undetermined
vatalia;undetermined
emelion;undetermined
ravita;undetermined
beca;undetermined
vatrita;undetermined
portocalo;undetermined
lali;female
ionana;female
etela;female
amelia;female
sascia;female
credina;female
tartica;female
baionela;female
silvica;female
lilu;female
semufria;female
grilafira;female
?on;male
minodara;female
roazea;female
zalestina;female
??rtica;female
blecleta;female
linaxata;female
anzela;female
danlela;female
margioala;female
derperanta;female
iabca;female
calipapia;female
margita;female
anitoara;female
nitia;undetermined
cleitor;undetermined
visuel;undetermined
hurmaza;female
nobila;female
cadenta;female
usul;undetermined
neculaie;male
marcus;male
sueia;female
eulora;undetermined
zdana;undetermined
margarete;undetermined
claudia;undetermined
nastasia;female
chita;undetermined
nedelea;undetermined
constantina;female
marista;undetermined
girar;undetermined
rastovita;undetermined
creta;undetermined
costal;undetermined
nerdison;undetermined
ghilodorea;undetermined
patre;undetermined
constantin;male
margan;male
ecatarina;female
ioan;male
manole;male
leana;female
mizilica;female
arafta;female
cireora;undetermined
maces;undetermined
iolanda;undetermined
batalina;undetermined
grafita;undetermined
papusica;undetermined
lenut;undetermined
rosalin;female
bondaret;undetermined
oaia;female
mieluta;female
sila;female
??ia;female
mohai;male
ielana;female
dragoi;undetermined
sili;undetermined
earbierux;undetermined
zoea;female
joi?;female
zomeonica;female
euresta;female
filofrteis;undetermined
trona;female
aurea;female
siliae;undetermined
vicotria;female
misca;undetermined
mariea;undetermined
filia;undetermined
sabina;female
bebi;undetermined
victorian;female
draghiel;female
vasilice;female
lisia;female
margineanu;male
vasiliea;female
ianeu;male
radueanu;male
staneiu;male
dura;male
one;female
moga;undetermined
ianou;male
sova;female
radcan;male
covaci;male
carnes;male
ioulia;undetermined
gneiu;undetermined
bera;undetermined
liditel;undetermined
tinea;undetermined
kastron;male
aniea;female
katerina;female
stalina;female
inca;female
ioanca;female
icara;female
stroe;undetermined
vrej;undetermined
vaitova;undetermined
adar;undetermined
lena;female
mirea;male
sultana;female
safza;undetermined
nita;female
eleisabeta;undetermined
vatila;undetermined
cristu;undetermined
avram;male
domnica;female
filica;undetermined
meleta;undetermined
petra;female
gabriela;undetermined
babelea;undetermined
lelica;undetermined
ioana1924;undetermined
gaston;undetermined
banca;undetermined
dumitrescu;undetermined
niculae;male
dobrica;undetermined
bernard;undetermined
bella;undetermined
obagila;undetermined
manole;male
feteteu;undetermined
sanda;female
costache;male
tutu;undetermined
poratu;undetermined
fica;undetermined
bairam;male
main;undetermined
adorina;undetermined
chirache;undetermined
micu;undetermined
nazarica;undetermined
clina;undetermined
caliopa;undetermined
antoana;female
iaoana;female
draga;female
zagorca;undetermined
osu;male
sfetco;undetermined
sumaia;female
milorad;male
marinco;male
cusman;male
milorat;male
milion;male
vichente;female
grebenar;male
calopas;female
ofelia;female
beba;female
joe;male
tolia;female
filianca;female
dinerit;female
borinca;female
slatinca;female
aurica;female
ioanica;male
moiganit;male
tiefan;male
chisau;male
busung;male
marceu;male
babata;male
josef;male
dunna;male
opusan;male
rafoila;male
mocacu;male
pascobe;male
beuonc;male
ionica;female
baconeu;male
ferdinet;male
donea;male
duta;undetermined
doneu;male
agafa;male
ofrisan;male
mani;male
zuica;female
iztie;female
liemaia;female
natala;female
califita;female
portocala;female
giana;female
leania;female
fiuca;female
maruta;female
dornia;female
domica;female
gengeta;female
nastazia;female
ambrosia;female
parumbita;female
zaica;female
salma;female
gerghina;female
patrica;female
marghiola;female
stugerle;male
smolina;male
costica;male
penica;female
magarit;male
mihiau;male
dominca;female
patrina;female
lazarica;female
ramuceani;male
vadeata;female
paponie;female
busnioe;male
argustina;female
aleksandru;undetermined
spiroche;male
lucrettia;female
sandia;male
maghola;female
maleanca;female
gustina;female
bibelica;female
ilenca;female
vasilea;female
vilva;female
zarachla;female
batolina;undetermined
dragu;undetermined
nicolina;female
s??;female
valeriu;male
conel;undetermined
piabina;undetermined
paloghia;undetermined
chirogiu;undetermined
dunitru;undetermined
stefama;undetermined
banea;undetermined
parpalache;undetermined
paraschiv;male
neda;undetermined
leonta;undetermined
irimia;male
vas;undetermined
ghina;undetermined
salomea;female
sande;undetermined
serbana;female
mantu;undetermined
costes;undetermined
jeha;undetermined
tamia;undetermined
nicoale;undetermined
matas;undetermined
luca;male
tone;undetermined
simon;male
fioarea;undetermined
colin;undetermined
petrana;undetermined
tassia;undetermined
aftene;undetermined
mocioaca;undetermined
mateleanca;undetermined
moci;undetermined
proiu;undetermined
dragute;undetermined
dudorei;undetermined
aldonte;undetermined
floares;undetermined
maris;undetermined
velie;undetermined
lupusor;undetermined
salomena;female
constantda;undetermined
alexandra;female
nasturasi;undetermined
iordan;male
raica;undetermined
tasu;undetermined
tudora;female
sav;undetermined
ceral;undetermined
dona;undetermined
tamarla;undetermined
mustafa;undetermined
resim;undetermined
hagie;undetermined
edic;undetermined
rubie;undetermined
cherez;undetermined
elma;undetermined
isuein;undetermined
iamarla;undetermined
geamir;undetermined
emer;undetermined
ghezban;undetermined
bahara;undetermined
hatie;undetermined
alen;undetermined
azir;undetermined
arif;undetermined
calmet;undetermined
fadime;undetermined
dragnici;undetermined
mermen;undetermined
nuri;undetermined
zinet;undetermined
chichirez;undetermined
iuzeir;male
veli;male
atigier;undetermined
muschife;female
zache;female
chesban;female
pamuca;female
iunsula;female
iamurli;female
fatma;female
haten;female
crimet;female
aslan;male
iamurlia;undetermined
asan;male
ermaza;undetermined
hatia;undetermined
anifia;female
memet;male
elmaz;undetermined
hali;undetermined
cadir;undetermined
bahar;undetermined
domenica;female
jeaneata;undetermined
saita;female
vanzle;undetermined
lomiya;undetermined
emanoel;undetermined
seameo;female
naum;undetermined
ilguta;undetermined
onita;undetermined
bebea;undetermined
moarghioal;undetermined
pavel;male
emila;undetermined
aneta;female
mircia;undetermined
baiesu;undetermined
axenia;undetermined
fagu;undetermined
pitigoe;undetermined
parau;undetermined
ciornei;undetermined
gulia;female
grena;female
giorgica;undetermined
nidahoie;undetermined
cagman;female
maria;female
raicu;undetermined
cicu;undetermined
ortanga;undetermined
marghareta;undetermined
nourica;male
maja;female
golda;female
stani;female
codreanu;undetermined
tatalasca;undetermined
bobolice;undetermined
chilimbar;undetermined
socuta;undetermined
ocuta;undetermined
morca;undetermined
gutuic;female
ripca;male
tancu;male
mariana;undetermined
maricica;female
gligherie;undetermined
jorj;undetermined
dtr;undetermined
ghi;undetermined
chiriac;male
chiriac;male
teoader;undetermined
verginica;female
iftamie;male
martita;female
euzefina;female
manita;female
aglaia;female
curita;female
profira;female
drumitru;male
talica;female
miluta;female
vighenia;undetermined
filenda;undetermined
iftimia;female
helena;undetermined
har;female
liunora;female
iordache;male
todiriu;undetermined
har;female
savia;undetermined
marga;female
marg;female
cazacu;female
docica;undetermined
germani;undetermined
vaselina;undetermined
vasilisa;female
hab;undetermined
marlar;undetermined
eudochia;undetermined
arsenie;undetermined
ifim;undetermined
valen;undetermined
nazarie;undetermined
danea;undetermined
irmia;undetermined
catea;undetermined
evgheni;undetermined
dasa;undetermined
niusia;undetermined
pantiaga;undetermined
vasilisa;female
nastia;undetermined
alexei;male
exenia;female
catuta;female
raiu;female
eufrosinia;female
afanasie;male
babas;undetermined
draia;female
nichifer;undetermined
palicarp;undetermined
zenobie;female
senafent;undetermined
fedosia;undetermined
luba;female
pasu;female
talnia;female
frosia;female
dochita;female
valentina;female
ileona;female
rusu;undetermined
axenca;female
naria;female
macrina;female
istolica;undetermined
ravica;female
ogotica;female
feodosia;female
zanaria;female
rolom;male
ilulia;female
maltilda;undetermined
nicodim;undetermined
arpi;undetermined
piti;undetermined
trif;undetermined
fia;undetermined
esti;undetermined
caolina;undetermined
monti;undetermined
salvine;undetermined
silviu;undetermined
izidor;undetermined
nicodin;undetermined
frasinica;female
candin;undetermined
beruta;undetermined
armean;undetermined
ludvica;undetermined
ludivic;undetermined
almasan;undetermined
anita;female
verenica;undetermined
diti;undetermined
ninida;undetermined
firuta;undetermined
ilite;undetermined
roji;undetermined
ita;undetermined
natabela;undetermined
